商品编码,大类,中类,小类,品牌,英文名,商品名,售价
112929,美发护理,染发,染发笔 ,美源染发笔染发棒,Dariya SALON de PRO,遮盖鬓角白发刷染发笔染发棒女用,78
110294,美发护理,定型造型,弹力素 ,施华蔻,Schwarzkopf,got2b蓬然妩媚立体丰盈弹力素乳液100ml,46
114577,美发护理,护法/润发,护发素/乳 ,海飞丝,,海飞丝护发素丝源复活组合头皮净化530ml,99.8
111924,美发护理,染发,染发粉 ,海娜,HAINA,天然植物粉 中老年白发染后护理遮白养发粉,95
116499,面部护理,精华,任何肤质,欧莱雅,LOREAL,复颜玻尿酸水光充盈导入膨润精华液75ml,260
112014,美发护理,护法/润发,精华乳/油 ,施华蔻,Schwarzkopf,多效修护19三重精油喷雾80ml,99
119317,美发护理,定型造型,蓬松喷雾 ,欧莱雅,L'OREAL,got2b蓬然妩媚强力定型发胶喷雾,59
110155,彩妆,隔离/妆前乳,遮瑕膏/笔,茵芙莎三色遮瑕膏,IPSA,无暇修饰遮瑕膏SPF25 4.5g ,248
117917,美发护理,护法/润发,精华乳/油 ,欧莱雅,L'OREAL,欧莱雅奇幻润发精油 小金瓶,62.9
111111,美发护理,护法/润发,发膜 ,欧莱雅,L'OREAL,沙龙专属丝泉密集滋养发膜500ml,76
118054,面部护理,乳液,滋润补水,欧莱雅,L'OREAL,清润多重活性保湿清新水凝乳110ml,136
112862,美发护理,定型造型,发胶 ,施华蔻,Schwarzkopf,got2b酷印强持久定型发胶250ml,48.8
118513,美发护理,定型造型,啫喱水 ,施华蔻,Schwarzkopf,got2b冰峰清爽定型啫喱250ml,39
112660,美发护理,护法/润发,护发素/乳 ,施华蔻,Schwarzkopf,多效修护19润发乳600ml,54.9
112972,彩妆,隔离/妆前乳,BB霜/CC霜,美宝莲,MAYBELLINE,超然无瑕轻垫霜02自然色 14g,179
117240,美发护理,染发,染发喷雾 ,欧莱雅,L'OREAL,欧莱雅奇妙补色喷雾,65
114330,面部护理,面膜,面膜,美迪惠尔,Mediheal,可莱丝美迪惠尔水润保湿面膜10片,128
119967,彩妆,眼影,膏/霜状 ,美宝莲,MAYBELLINE,双色渐变眼影棒大地色金棕色粉色,69.9
115899,彩妆,眼影,眼影笔 ,欧莱雅,L'OREAL,恒放溢彩持色防晕彩色眼线胶笔,100
118817,美发护理,洗发水,无硅油 ,海飞丝,,海飞丝无硅油洗发水套装致美450ml*2,79
118939,美发护理,洗发水,去屑止痒,资生堂-惠润,SUPER MiLD,柔净 绿野芳香 洗护 套装,86.8
116374,彩妆,指甲油,甲油 ,虞琳娜,YULYNA,炫色纯色不可剥油性指甲油,19
110714,彩妆,指甲油,美甲工具,美潮,Maychao,美潮美甲工具指甲油胶光疗胶卸甲夹子,19.8
117748,美发护理,定型造型,弹力素 ,沙宣,VS,沙宣盈卷修润弹力素乳液100ml,45.9
110043,面部护理,洁面,泡沫/摩丝 ,曼秀雷敦,Mentholatum,肌研极润洁面泡沫160ml,59.9
112901,美发护理,护法/润发,精华乳/油 ,欧莱雅,L'OREAL,奇焕润发护发精油100ml,59
117480,彩妆,隔离/妆前乳,BB霜/CC霜,蒂佳婷,Dr.Jart+,毛孔隐形修颜霜SPF30/PA++ 50ml,230
119033,彩妆,眼线笔/液,防晕染,卡姿兰,Carslan,卡姿兰大眼晴零触感眼线笔0.55g,85
115403,美发护理,定型造型,发胶 ,杰士派,GATSBY,定型喷雾哑光发蜡组合套装发胶造型搭档,62.8
115575,美发护理,染发,染发剂/膏/霜 ,施华蔻,Schwarzkopf,施华蔻(Schwarzkopf)怡然染发霜2.0闪亮珍珠黑*2,99
119247,美发护理,洗发水,无硅油 ,滋源,see young,控油清爽 洗头水 535ml,79.9
119259,美发护理,定型造型,发蜡/发泥 ,施华蔻,Schwarzkopf,got2b酷印强塑型发蜡100g,59
114710,美发护理,定型造型,啫喱膏 ,施华蔻,Schwarzkopf,got2b冰峰清爽定型啫喱膏啫喱水250ml,49
115532,美发护理,护法/润发,发膜 ,资生堂水之密语,AQUAIR,靓彩染烫修护精华发膜200g,79
112809,彩妆,唇笔,显色,爱汇吉,AIHUIJI,裸色立体唇型防水持久咬唇笔口红笔,26
115816,美发护理,定型造型,啫喱水 ,沙宣,VS,沙宣造型啫喱水强力持久150ml,24.9
114668,美发护理,定型造型,摩丝 ,施华蔻,Schwarzkopf,got2b迷浪卷发造型摩丝,55
112893,面部护理,面膜,眼膜,透真,LUCENBASE,透真玻尿酸多效保湿蚕丝眼膜贴,69
113152,美发护理,洗发水,清爽/控油,滋源,see young,茶籽控油去屑洗头水535ml,89.9
111895,美发护理,洗发水,防脱 ,霸王,,霸王育发防脱护理套装380ml+育发液,84.9
111537,美发护理,护法/润发,护发素/乳 ,沙宣,VS,沙宣护发素垂坠质感750ml,63.8
114341,彩妆,眉笔/粉,眉笔,玛丽黛佳,MARIEDALGAR,自然生动眉笔0.2g*2 05 棕色,42
114635,美发护理,定型造型,摩丝 ,沙宣,VS,沙宣弹性波浪卷泡沫摩丝250ml,35.8
110511,面部护理,面膜,鼻贴膜,英尚,INSONG,猪鼻贴去黑头三部曲鼻贴套装,68
115589,美发护理,染发,染发泡泡 ,韩愢,FLWB,韩愢生态鲜花3d泡泡染发剂,68
114296,面部护理,爽肤水,紧肤水,百雀羚,PECHOIN,平衡润泽爽肤水100ml*2瓶,102
113143,面部护理,爽肤水,喷雾,理肤泉,LA ROCHE-POSAY,舒缓调理喷雾150ml*2,129
110826,面部护理,洁面,泡沫/摩丝 ,碧柔,Biore,深层净柔卸妆泡沫150ml,59
111954,面部护理,卸妆,卸妆油,资生堂珊珂,SENKA,绵润水感卸妆油230ml,78
115930,美发护理,染发,染发泡泡 ,花王,kao,花王莉婕liese美发染膏,69
117434,面部护理,卸妆,卸妆乳,碧柔,Biroe,深层净润卸妆乳150ml*2件,79
115753,美发护理,染发,染发泡泡 ,施华蔻,Schwarzkopf,施华蔻(Schwarzkopf)染发摩丝3-65琥珀深棕,59
